"","Date","ID.1","ID.2","Site","TimeStamp"
"159",2019-11-26,"Pozole","unbanded adult male","AZ","8:04:53"
"160",2019-10-30,"Queso","unbanded adult male","AZ","9:19:31"
"161",2019-09-12,"Sincronizada","unbanded adult male","AZ","7:59:47"
"162",2019-11-25,"Taco","unbanded adult male","AZ","8:55:01"
"163",2019-12-16,"Taco","unbanded adult male","AZ","9:58:27"
"164",2020-01-20,"Taco","unbanded adult male","AZ","11:43:42"
"165",2020-01-26,"Taco","unbanded adult male","AZ","10:29:10"
"166",2019-09-05,"Tapa","unbanded adult male","AZ","6:38:16"
"167",2019-12-16,"Taquito","unbanded adult male","AZ","9:21:35"
"168",2019-11-17,"Torta","unbanded adult male","AZ","7:55:00"
"169",2020-01-23,"Torta","unbanded adult male","AZ","9:15:21"
"170",2020-01-13,"Tortilla","unbanded adult male","AZ","11:59:56"
"171",2019-12-03,"Uva","unbanded adult male","AZ","10:32:04"
"172",2020-03-02,"Uva","unbanded adult male","AZ","9:20:51"
"173",2020-02-02,"Yuca","unbanded adult male","AZ","9:11:37"
"174",2019-09-17,"Aquaman","unbanded juvenile","AZ","7:50:50"
"175",2019-09-22,"Fideo","unbanded juvenile","AZ","7:14:59"
"176",2019-12-09,"Fideo","unbanded juvenile","AZ","7:55:02"
